Time,Omega_X,Omega_Y,Omega_Z
0.985659117332519,-8.59444022819549e-07,-2912.43415776764,3.89578835082667e-07
0.986659117332519,-8.63998573075446e-07,-2916.14113464328,3.89440164355337e-07
0.987659117332519,-8.70670698816846e-07,-2919.84811152147,3.89320255340902e-07
0.988659117332519,-8.78953473145372e-07,-2923.55508840162,3.89230626070262e-07
0.989659117332519,-8.88182601649734e-07,-2927.26206528289,3.89180108475728e-07
0.990659117332519,-8.97592043083016e-07,-2930.96904216438,3.8917397785578e-07
0.991659117332519,-9.06386874181515e-07,-2934.67601904513,3.89213554643408e-07
0.992659117332519,-9.13817583204471e-07,-2938.38299592423,3.89295716778983e-07
0.993659117332519,-9.1925025656546e-07,-2942.08997280092,3.89413386852999e-07
0.994659117332519,-9.22227031689697e-07,-2945.79694967465,3.89555902798855e-07
0.995659117332519,-9.22516971389408e-07,-2949.50392654516,3.89710178940987e-07
0.996659117332519,-9.20139187573592e-07,-2953.21090341247,3.89861623745909e-07
0.997659117332519,-9.15367364611481e-07,-2956.91788027692,3.89995839457255e-07
0.998659117332519,-9.08708254879612e-07,-2960.62485713911,3.90099648517245e-07
0.999659117332519,-9.00856508834083e-07,-2964.33183399989,3.90162711375879e-07
1.00065911733252,-8.92633857251515e-07,-2968.03881086024,3.9017830432495e-07
1.00165911733252,-8.84911525474113e-07,-2971.74578772121,3.90144268925146e-07
1.00265911733252,-8.78525903498568e-07,-2975.45276458379,3.90063087067728e-07
1.00365911733252,-8.74199845749185e-07,-2979.15974144884,3.89941988451401e-07
1.00465911733252,-8.72468223944566e-07,-2982.86671831699,3.89792069668458e-07
1.00565911733252,-8.73622045367269e-07,-2986.57369518857,3.89627541794312e-07
1.00665911733252,-8.77677945416499e-07,-2990.28067206361,3.89464173548999e-07
1.00765911733252,-8.84369356960663e-07,-2993.98764894178,3.89318012147644e-07
1.00865911733252,-8.93168907991427e-07,-2997.69462582242,3.89203580366371e-07
1.00965911733252,-9.03332324166779e-07,-3001.40160270466,3.89132626058782e-07
1.01065911733252,-9.13968777759292e-07,-3005.10857958743,3.89112741064814e-07
1.01165911733252,-9.24126659543264e-07,-3008.81555646961,3.89146708525018e-07
1.01265911733252,-9.32886640345697e-07,-3012.52253335011,3.89231894423065e-07
1.01365911733252,-9.3945122306269e-07,-3016.22951022798,3.89360650296703e-07
1.01465911733252,-9.4322736914108e-07,-3019.93648710255,3.89520790740977e-07
1.01565911733252,-9.43889950711141e-07,-3023.64346397343,3.89696860206652e-07
1.01665911733252,-9.4141897177671e-07,-3027.35044084062,3.89871457969434e-07
1.01765911733252,-9.3610635772703e-07,-3031.05741770448,3.9002711127236e-07
1.01865911733252,-9.2853361221428e-07,-3034.7643945657,3.90147873011651e-07
1.01965911733252,-9.19519134755545e-07,-3038.47137142526,3.90221124214306e-07
1.02065911733252,-9.10039533270745e-07,-3042.17834828431,3.90238723938564e-07
1.02165911733252,-9.01134760675567e-07,-3045.88532514408,3.90198099834333e-07
1.02265911733252,-8.93803110344719e-07,-3049.59230200573,3.90102466751238e-07
1.02365911733252,-8.88900530405864e-07,-3053.29927887027,3.89960795755585e-07
1.02465911733252,-8.87050750564657e-07,-3057.00625573841,3.89786779983926e-07
1.02565911733252,-8.88577179789217e-07,-3060.71323261052,3.89597719898276e-07
1.02665911733252,-8.93463355066525e-07,-3064.42020948654,3.8941274297717e-07
1.02765911733252,-9.01348035645728e-07,-3068.12718636605,3.89250856513429e-07
1.02865911733252,-9.11557496572297e-07,-3071.83416324824,3.89129090423271e-07
1.02965911733252,-9.2316738708787e-07,-3075.54114013201,3.89060527377308e-07
1.03065911733252,-9.35094292348216e-07,-3079.2481170161,3.89053103958022e-07
1.03165911733252,-9.46204637784767e-07,-3082.95509389918,3.89108423054766e-07
1.03265911733252,-9.55430318104195e-07,-3086.66207078001,3.8922170810638e-07
1.03365911733252,-9.61880174701571e-07,-3090.36904765758,3.893819785052e-07
1.03465911733252,-9.64937923014956e-07,-3094.07602453117,3.89573279093706e-07
1.03565911733252,-9.64332031584239e-07,-3097.7830014005,3.89776013564953e-07
1.03665911733252,-9.6016800586042e-07,-3101.48997826571,3.8996913911918e-07
1.03765911733251,-9.52925738351806e-07,-3105.19695512738,3.9013219698168e-07
1.03865911733251,-9.43416661365243e-07,-3108.90393198648,3.90247631084632e-07
1.03965911733251,-9.32705017309078e-07,-3112.61090884425,3.90302516242049e-07
1.04065911733251,-9.21998541803579e-07,-3116.31788570209,3.90290179178352e-07
1.04165911733251,-9.12523809545435e-07,-3120.02486256143,3.90210912869716e-07
1.04265911733251,-9.05396899622679e-07,-3123.73183942355,3.90072186007322e-07
