Time,Tau_X,Tau_Y,Tau_Z
8.80209224739967,-0.000203080073259815,7.37319502697976e-05,0.000130995312787967
8.80309224739967,-0.000203094910450918,7.37360567907886e-05,0.000130945550891746
8.80409224739967,-0.000203109360865612,7.37402501612947e-05,0.000130895928474088
8.80509224739967,-0.000203123427444488,7.37445281959479e-05,0.000130846453530211
8.80609224739967,-0.000203137113188132,7.37488886116669e-05,0.000130797133905558
8.80709224739967,-0.00020315042110651,7.37533293157157e-05,0.000130747977281663
8.80809224739967,-0.00020316335427517,7.37578481470983e-05,0.000130698991249279
8.80909224739967,-0.000203175915801085,7.37624429984179e-05,0.000130650183171724
8.81009224739967,-0.000203188108867397,7.37671118222759e-05,0.000130601560332774
8.81109224739967,-0.000203199936620318,7.37718526741304e-05,0.000130553129858498
8.81209224739967,-0.000203211402278546,7.37766634927515e-05,0.000130504898762841
8.81309224739967,-0.000203222509071024,7.37815423629909e-05,0.000130456873902012
8.81409224739967,-0.000203233260299388,7.37864875113811e-05,0.00013040906193524
8.81509224739967,-0.000203243659255429,7.37914969207469e-05,0.00013036146947565
8.81609224739967,-0.000203253709370966,7.37965689010725e-05,0.000130314103020395
8.81709224739967,-0.000203263413925299,7.38017015346511e-05,0.000130266968892783
8.81809224739967,-0.000203272776339487,7.38068931687234e-05,0.000130220073283716
8.81909224739966,-0.000203281800067885,7.38121420067747e-05,0.000130173422272009
8.82009224739966,-0.000203290488521763,7.38174463621714e-05,0.000130127021830791
8.82109224739966,-0.000203298845190757,7.38228045657261e-05,0.000130080877819681
8.82209224739966,-0.000203306873585981,7.38282149537328e-05,0.000130034995924509
8.82309224739966,-0.00020331457724155,7.38336760410847e-05,0.000129989381758803
8.82409224739966,-0.000203321959680234,7.38391860552827e-05,0.00012994404079898
8.82509224739966,-0.000203329024439667,7.38447435394075e-05,0.000129898978442625
8.82609224739966,-0.000203335775147074,7.38503468951374e-05,0.000129854199892657
8.82709224739966,-0.000203342215359169,7.38559945808969e-05,0.00012980971034466
8.82809224739966,-0.000203348348675169,7.38616851255843e-05,0.000129765514778561
8.82909224739966,-0.000203354178724873,7.38674170631939e-05,0.000129721618073484
8.83009224739966,-0.000203359709190235,7.38731888715699e-05,0.000129678025079159
8.83109224739966,-0.00020336494368804,7.38789991616451e-05,0.000129634740404174
8.83209224739966,-0.000203369885934664,7.38848463838289e-05,0.000129591768741022
8.83309224739966,-0.000203374539541602,7.38907291493772e-05,0.00012954911449379
8.83409224739966,-0.000203378908166478,7.38966460383455e-05,0.000129506781997694
8.83509224739966,-0.000203382995531024,7.39025956850295e-05,0.000129464775503329
8.83609224739966,-0.000203386805311861,7.39085766029039e-05,0.000129423099084334
8.83709224739965,-0.000203390341236514,7.39145875015081e-05,0.000129381756829306
